"";"genes"
"Slc25a3";"Slc25a3"
"Tmpo";"Tmpo"
"Rmst";"Rmst"
"Nedd1";"Nedd1"
"Cfap54";"Cfap54"
"Cdk17";"Cdk17"
"Elk3";"Elk3"
"Gm32688";"Gm32688"
"Gm17745";"Gm17745"
"Lta4h";"Lta4h"
"Hal";"Hal"
"Amdhd1";"Amdhd1"
"Ccdc38";"Ccdc38"
"Snrpf";"Snrpf"
"4933408J17Rik";"4933408J17Rik"
"Gm47156";"Gm47156"
"Ntn4";"Ntn4"
"Metap2";"Metap2"
"Vezt";"Vezt"
"Fgd6";"Fgd6"
"Nr2c1";"Nr2c1"
"Ndufa12";"Ndufa12"
"Tmcc3";"Tmcc3"
"Gm16155";"Gm16155"
"Tmcc3os";"Tmcc3os"
"Gm48657";"Gm48657"
"Cep83os";"Cep83os"
"Cep83";"Cep83"
"Gm48689";"Gm48689"
"Plxnc1";"Plxnc1"
"Gm29684";"Gm29684"
"Cradd";"Cradd"
"Gm48882";"Gm48882"
"2310039L15Rik";"2310039L15Rik"
"Socs2";"Socs2"
"Mrpl42";"Mrpl42"
"Ube2n";"Ube2n"
"Nudt4";"Nudt4"
"4732465J04Rik";"4732465J04Rik"
"Eea1";"Eea1"
"Gm48505";"Gm48505"
"Gm33843";"Gm33843"
"Btg1";"Btg1"
"Dcn";"Dcn"
"Gm10754";"Gm10754"
"Atp2b1";"Atp2b1"
"Gm48768";"Gm48768"
"Poc1b";"Poc1b"
"Galnt4";"Galnt4"
"Phxr2";"Phxr2"
"Gm16239";"Gm16239"
"Dusp6";"Dusp6"
"Gm34921";"Gm34921"
"Gm48089";"Gm48089"
"B530045E10Rik";"B530045E10Rik"
"Gm35035";"Gm35035"
"Gm34983";"Gm34983"
"Gm20110";"Gm20110"
"Gm47578";"Gm47578"
"Kitl";"Kitl"
"Tmtc3";"Tmtc3"
"Cep290";"Cep290"
"4930430F08Rik";"4930430F08Rik"
"Gm47956";"Gm47956"
"Mgat4c";"Mgat4c"
"Gm47031";"Gm47031"
"Gm47101";"Gm47101"
"Gm47221";"Gm47221"
"Tmtc2";"Tmtc2"
"Mettl25";"Mettl25"
"Ccdc59";"Ccdc59"
"Ppfia2";"Ppfia2"
"Acss3";"Acss3"
"Lin7a";"Lin7a"
"Ptprq";"Ptprq"
"Ppp1r12a";"Ppp1r12a"
"Pawr";"Pawr"
"Gm36283";"Gm36283"
"Syt1";"Syt1"
"Nav3";"Nav3"
"E2f7";"E2f7"
"Csrp2";"Csrp2"
"Zdhhc17";"Zdhhc17"
"Osbpl8";"Osbpl8"
"Bbs10";"Bbs10"
"Nap1l1";"Nap1l1"
"Phlda1";"Phlda1"
"Gm30624";"Gm30624"
"Krr1";"Krr1"
"Glipr1";"Glipr1"
"Glipr1l3";"Glipr1l3"
"Caps2";"Caps2"
"Kcnc2";"Kcnc2"
"Atxn7l3b";"Atxn7l3b"
"Trhde";"Trhde"
"Tbc1d15";"Tbc1d15"
"Rab21";"Rab21"
"Tmem19";"Tmem19"
"Thap2";"Thap2"
"Zfc3h1";"Zfc3h1"
"4930422I22Rik";"4930422I22Rik"
"Tspan8";"Tspan8"
"Ptprr";"Ptprr"
"Ptprb";"Ptprb"
"Kcnmb4";"Kcnmb4"
"Cnot2";"Cnot2"
"5330438D12Rik";"5330438D12Rik"
"Myrfl";"Myrfl"
"Rab3ip";"Rab3ip"
"4933412E12Rik";"4933412E12Rik"
"Gm10271";"Gm10271"
"D630029K05Rik";"D630029K05Rik"
"Best3";"Best3"
"Cct2";"Cct2"
"Frs2";"Frs2"
"Yeats4";"Yeats4"
"Lyz2";"Lyz2"
"Lyz1";"Lyz1"
"Cpsf6";"Cpsf6"
"Gm48903";"Gm48903"
"Gm40770";"Gm40770"
"Cpm";"Cpm"
"Mdm2";"Mdm2"
"Slc35e3";"Slc35e3"
"Nup107";"Nup107"
"Rap1b";"Rap1b"
"Gm32552";"Gm32552"
"Gm40773";"Gm40773"
"Mdm1";"Mdm1"
"Gm47958";"Gm47958"
"Gm4065";"Gm4065"
"Dyrk2";"Dyrk2"
"Gm33677";"Gm33677"
"Cand1";"Cand1"
"Grip1";"Grip1"
"Helb";"Helb"
"Irak3";"Irak3"
"Tmbim4";"Tmbim4"
"Llph";"Llph"
"Hmga2";"Hmga2"
"1700006J14Rik";"1700006J14Rik"
"4930471E19Rik";"4930471E19Rik"
"Msrb3";"Msrb3"
"Gm15910";"Gm15910"
"Lemd3";"Lemd3"
"Wif1";"Wif1"
"Tbc1d30";"Tbc1d30"
"Gns";"Gns"
"Rassf3";"Rassf3"
"Gm48591";"Gm48591"
"Gm40787";"Gm40787"
"Gm35696";"Gm35696"
"Tbk1";"Tbk1"
"Xpot";"Xpot"
"D930020B18Rik";"D930020B18Rik"
"BC048403";"BC048403"
"Srgap1";"Srgap1"
"Rxylt1";"Rxylt1"
"Gm36041";"Gm36041"
"Gm48877";"Gm48877"
"A130077B15Rik";"A130077B15Rik"
"Ppm1h";"Ppm1h"
"Gm36208";"Gm36208"
"Mon2";"Mon2"
"Usp15";"Usp15"
"Gm4129";"Gm4129"
"Tafa2";"Tafa2"
"Slc16a7";"Slc16a7"
"Gm45604";"Gm45604"
"Lrig3";"Lrig3"
"Atp23";"Atp23"
"Ctdsp2";"Ctdsp2"
"Avil";"Avil"
"Tsfm";"Tsfm"
"Eef1akmt3";"Eef1akmt3"
"Mettl1";"Mettl1"
"March9";"March9"
"Cdk4";"Cdk4"
"Tspan31";"Tspan31"
"A730063M14Rik";"A730063M14Rik"
"Agap2";"Agap2"
"Os9";"Os9"
"B4galnt1";"B4galnt1"
"Slc26a10";"Slc26a10"
"Arhgef25";"Arhgef25"
"Dtx3";"Dtx3"
"F420014N23Rik";"F420014N23Rik"
"Pip4k2c";"Pip4k2c"
"Kif5a";"Kif5a"
"Dctn2";"Dctn2"
"Mbd6";"Mbd6"
"Gm20492";"Gm20492"
"Gm4189";"Gm4189"
"Ddit3";"Ddit3"
"Mars";"Mars"
"Arhgap9";"Arhgap9"
"Gm47200";"Gm47200"
"R3hdm2";"R3hdm2"
"Stac3";"Stac3"
"Shmt2";"Shmt2"
"Lrp1";"Lrp1"
"Gm16217";"Gm16217"
"Stat6";"Stat6"
"Nab2";"Nab2"
"Nemp1";"Nemp1"
"Gm16230";"Gm16230"
"Zbtb39";"Zbtb39"
"Rdh1";"Rdh1"
"Rdh9";"Rdh9"
"Prim1";"Prim1"
"Naca";"Naca"
"Ptges3";"Ptges3"
"Gm47438";"Gm47438"
"Atp5b";"Atp5b"
"Baz2a";"Baz2a"
"Rbms2";"Rbms2"
"Gls2";"Gls2"
"Spryd4";"Spryd4"
"Timeless";"Timeless"
"Apof";"Apof"
"Stat2";"Stat2"
"Il23a";"Il23a"
"Pan2";"Pan2"
"Cnpy2";"Cnpy2"
"Cs";"Cs"
"Coq10a";"Coq10a"
"Ankrd52";"Ankrd52"
"Gm17201";"Gm17201"
"Nabp2";"Nabp2"
"Rnf41";"Rnf41"
"Smarcc2";"Smarcc2"
"Myl6";"Myl6"
"Myl6b";"Myl6b"
"Esyt1";"Esyt1"
"Gm29585";"Gm29585"
"Zc3h10";"Zc3h10"
"Rpl41";"Rpl41"
"Pa2g4";"Pa2g4"
"Erbb3";"Erbb3"
"Rps26";"Rps26"
"Ikzf4";"Ikzf4"
"Suox";"Suox"
"Rab5b";"Rab5b"
"Cdk2";"Cdk2"
"Pmel";"Pmel"
"Dgka";"Dgka"
"Pym1";"Pym1"
"Gm47093";"Gm47093"
"Mmp19";"Mmp19"
"Tmem198b";"Tmem198b"
"Dnajc14";"Dnajc14"
"Sarnp";"Sarnp"
"Ormdl2";"Ormdl2"
"Gdf11";"Gdf11"
"Cd63";"Cd63"
"Rdh5";"Rdh5"
"Bloc1s1";"Bloc1s1"
"Olfr784";"Olfr784"
"Olfr814";"Olfr814"
"Tespa1";"Tespa1"
"Gm31793";"Gm31793"
"Sfi1";"Sfi1"
"Gm11399";"Gm11399"
"Drg1";"Drg1"
"Eif4enif1";"Eif4enif1"
"Patz1";"Patz1"
"Gm12592";"Gm12592"
"Gm11944";"Gm11944"
"Pik3ip1";"Pik3ip1"
"Limk2";"Limk2"
"Rnf185";"Rnf185"
"8430429K09Rik";"8430429K09Rik"
"Selenom";"Selenom"
"Smtn";"Smtn"
"Tug1";"Tug1"
"Morc2a";"Morc2a"
"Osbp2";"Osbp2"
"4921536K21Rik";"4921536K21Rik"
"Dusp18";"Dusp18"
"Slc35e4";"Slc35e4"
"Tcn2";"Tcn2"
"4930556J24Rik";"4930556J24Rik"
"Pes1";"Pes1"
"Gal3st1";"Gal3st1"
"Mtfp1";"Mtfp1"
"Sec14l2";"Sec14l2"
"Rnf215";"Rnf215"
"Ccdc157";"Ccdc157"
"Sf3a1";"Sf3a1"
"Tbc1d10a";"Tbc1d10a"
"Castor1";"Castor1"
"Osm";"Osm"
"Hormad2";"Hormad2"
"Mtmr3";"Mtmr3"
"Gm11032";"Gm11032"
"Ascc2";"Ascc2"
"Uqcr10";"Uqcr10"
"Zmat5";"Zmat5"
"Nf2";"Nf2"
"Nipsnap1";"Nipsnap1"
"Thoc5";"Thoc5"
"Ap1b1";"Ap1b1"
"Gas2l1";"Gas2l1"
"Ewsr1";"Ewsr1"
"Rhbdd3";"Rhbdd3"
"Kremen1";"Kremen1"
"Znrf3";"Znrf3"
"Gm11963";"Gm11963"
"Xbp1";"Xbp1"
"Ccdc117";"Ccdc117"
"Ankrd36";"Ankrd36"
"Mrps24";"Mrps24"
"Urgcp";"Urgcp"
"Dbnl";"Dbnl"
"Polm";"Polm"
"Aebp1";"Aebp1"
"Pold2";"Pold2"
"Gck";"Gck"
"Ykt6";"Ykt6"
"Camk2b";"Camk2b"
"Nudcd3";"Nudcd3"
"A730071L15Rik";"A730071L15Rik"
"Ddx56";"Ddx56"
"Tmed4";"Tmed4"
"Ogdh";"Ogdh"
"Zmiz2";"Zmiz2"
"Ppia";"Ppia"
"H2afv";"H2afv"
"Purb";"Purb"
"Gm11973";"Gm11973"
"Myo1g";"Myo1g"
"Snhg15";"Snhg15"
"Ccm2";"Ccm2"
"Tbrg4";"Tbrg4"
"Ramp3";"Ramp3"
"Tns3";"Tns3"
"Pkd1l1";"Pkd1l1"
"Hus1";"Hus1"
"Gm11992";"Gm11992"
"Abca13";"Abca13"
"Vwc2";"Vwc2"
"Zpbp";"Zpbp"
"Spata48";"Spata48"
"Gm11998";"Gm11998"
"4930512M02Rik";"4930512M02Rik"
"Gm11999";"Gm11999"
"Ikzf1";"Ikzf1"
"Gm12000";"Gm12000"
"Fignl1";"Fignl1"
"Ddc";"Ddc"
"Grb10";"Grb10"
"Cobl";"Cobl"
"4930554G24Rik";"4930554G24Rik"
"Vstm2a";"Vstm2a"
"Sec61g";"Sec61g"
"Egfr";"Egfr"
"Eldr";"Eldr"
"Fbxo48";"Fbxo48"
"Plek";"Plek"
"Cnrip1";"Cnrip1"
"Ppp3r1";"Ppp3r1"
"Wdr92";"Wdr92"
"Pno1";"Pno1"
"C1d";"C1d"
"Etaa1";"Etaa1"
"Etaa1os";"Etaa1os"
"Gm12023";"Gm12023"
"Meis1";"Meis1"
"Gm16141";"Gm16141"
"Spred2";"Spred2"
"Actr2";"Actr2"
"Rab1a";"Rab1a"
"Cep68";"Cep68"
"Slc1a4";"Slc1a4"
"Sertad2";"Sertad2"
"Aftph";"Aftph"
"Lgalsl";"Lgalsl"
"Peli1";"Peli1"
"Vps54";"Vps54"
"Ugp2";"Ugp2"
"Mdh1";"Mdh1"
"Wdpcp";"Wdpcp"
"Ehbp1";"Ehbp1"
"Tmem17";"Tmem17"
"B3gnt2";"B3gnt2"
"Gm20456";"Gm20456"
"9130230N09Rik";"9130230N09Rik"
"Commd1";"Commd1"
"Zrsr1";"Zrsr1"
"Cct4";"Cct4"
"Fam161a";"Fam161a"
"Gm12059";"Gm12059"
"Xpo1";"Xpo1"
"Usp34";"Usp34"
"Ahsa2";"Ahsa2"
"Selenok-ps1";"Selenok-ps1"
"0610010F05Rik";"0610010F05Rik"
"Pex13";"Pex13"
"Pus10";"Pus10"
"Rel";"Rel"
"Papolg";"Papolg"
"Bcl11a";"Bcl11a"
"Gm12064";"Gm12064"
"Gm12068";"Gm12068"
"5730522E02Rik";"5730522E02Rik"
"Fancl";"Fancl"
"Vrk2";"Vrk2"
"Gm12082";"Gm12082"
"Pnpt1";"Pnpt1"
"A630052C17Rik";"A630052C17Rik"
"Ppp4r3b";"Ppp4r3b"
"Cfap36";"Cfap36"
"Ccdc88a";"Ccdc88a"
"Prorsd1";"Prorsd1"
"Gm12089";"Gm12089"
"Mtif2";"Mtif2"
"Rps27a";"Rps27a"
"Clhc1";"Clhc1"
"Gm12088";"Gm12088"
"Rtn4";"Rtn4"
"Eml6";"Eml6"
"4931440F15Rik";"4931440F15Rik"
"Sptbn1";"Sptbn1"
"Gm29237";"Gm29237"
"Acyp2";"Acyp2"
"Psme4";"Psme4"
"Asb3";"Asb3"
"Erlec1";"Erlec1"
"Chac2";"Chac2"
"Bod1";"Bod1"
"D630024D03Rik";"D630024D03Rik"
"Cpeb4";"Cpeb4"
"Nsg2";"Nsg2"
"Snrnp25";"Snrnp25"
"Rhbdf1";"Rhbdf1"
"Nprl3";"Nprl3"
"Mpg";"Mpg"
"Sh3pxd2b";"Sh3pxd2b"
"Ubtd2";"Ubtd2"
"Efcab9";"Efcab9"
"Stk10";"Stk10"
"Fbxw11";"Fbxw11"
"Gm12111";"Gm12111"
"Npm1";"Npm1"
"Ranbp17";"Ranbp17"
"Kcnip1";"Kcnip1"
"Kcnmb1";"Kcnmb1"
"4930469K13Rik";"4930469K13Rik"
"Lcp2";"Lcp2"
"Dock2";"Dock2"
"4930403D09Rik";"4930403D09Rik"
"Insyn2b";"Insyn2b"
"Spdl1";"Spdl1"
"Slit3";"Slit3"
"Pank3";"Pank3"
"Rars";"Rars"
"Wwc1";"Wwc1"
"Tenm2";"Tenm2"
"Gm12132";"Gm12132"
"Mat2b";"Mat2b"
"Hmmr";"Hmmr"
"Nudcd2";"Nudcd2"
"Ccng1";"Ccng1"
"A230004M16Rik";"A230004M16Rik"
"Atp10b";"Atp10b"
"Gm12146";"Gm12146"
"Pttg1";"Pttg1"
"Slu7";"Slu7"
"Ccnjl";"Ccnjl"
"Pwwp2a";"Pwwp2a"
"Ttc1";"Ttc1"
"Adra1b";"Adra1b"
"Il12b";"Il12b"
"Ublcp1";"Ublcp1"
"Rnf145";"Rnf145"
"Ebf1";"Ebf1"
"F630206G17Rik";"F630206G17Rik"
"Clint1";"Clint1"
"Lsm11";"Lsm11"
"Thg1l";"Thg1l"
"Sox30";"Sox30"
"Gm12166";"Gm12166"
"Adam19";"Adam19"
"Cyfip2";"Cyfip2"
"Med7";"Med7"
"Havcr2";"Havcr2"
"BC053393";"BC053393"
"Timd4";"Timd4"
"Sgcd";"Sgcd"
"Rack1";"Rack1"
"Trim41";"Trim41"
"Gm12184";"Gm12184"
"Trim7";"Trim7"
"Gm16170";"Gm16170"
"Irgm1";"Irgm1"
"Gm5431";"Gm5431"
"Gm12185";"Gm12185"
"Psme2b";"Psme2b"
"9930111J21Rik1";"9930111J21Rik1"
"Olfr56";"Olfr56"
"Tgtp1";"Tgtp1"
"9930111J21Rik2";"9930111J21Rik2"
"Tgtp2";"Tgtp2"
"Ifi47";"Ifi47"
"Zfp62";"Zfp62"
"Mgat1";"Mgat1"
"Olfr1388";"Olfr1388"
"Olfr1385";"Olfr1385"
"Flt4";"Flt4"
"Cnot6";"Cnot6"
"Mapk9";"Mapk9"
"Rnf130";"Rnf130"
"Tbc1d9b";"Tbc1d9b"
"Gm12195";"Gm12195"
"Mrnip";"Mrnip"
"Sqstm1";"Sqstm1"
"Mgat4b";"Mgat4b"
"Ltc4s";"Ltc4s"
"Gm26542";"Gm26542"
"Maml1";"Maml1"
"Canx";"Canx"
"Cby3";"Cby3"
"Hnrnph1";"Hnrnph1"
"Rufy1";"Rufy1"
"Zfp354c";"Zfp354c"
"Zfp879";"Zfp879"
"Zfp454";"Zfp454"
"Zfp2";"Zfp2"
"Zfp354b";"Zfp354b"
"Zfp354a";"Zfp354a"
"BC049762";"BC049762"
"Clk4";"Clk4"
"Col23a1";"Col23a1"
"Phykpl";"Phykpl"
"Hnrnpab";"Hnrnpab"
"Nhp2";"Nhp2"
"Rmnd5b";"Rmnd5b"
"N4bp3";"N4bp3"
"D930048N14Rik";"D930048N14Rik"
"0610009B22Rik";"0610009B22Rik"
"Sec24a";"Sec24a"
"Sar1b";"Sar1b"
"Jade2";"Jade2"
"Cdkn2aipnl";"Cdkn2aipnl"
"Ube2b";"Ube2b"
"Gm12204";"Gm12204"
"Cdkl3";"Cdkl3"
"Ppp2ca";"Ppp2ca"
"Skp1a";"Skp1a"
"Tcf7";"Tcf7"
"Vdac1";"Vdac1"
"9530068E07Rik";"9530068E07Rik"
"Fstl4";"Fstl4"
"Hspa4";"Hspa4"
"Zcchc10";"Zcchc10"
"Aff4";"Aff4"
"Uqcrq";"Uqcrq"
"Gdf9";"Gdf9"
"Shroom1";"Shroom1"
"Sowaha";"Sowaha"
"Sept8";"Sept8"
"Kif3a";"Kif3a"
"Il4";"Il4"
"Rad50";"Rad50"
"Irf1";"Irf1"
"Gm12216";"Gm12216"
"Slc22a5";"Slc22a5"
"Slc22a21";"Slc22a21"
"Slc22a4";"Slc22a4"
"Pdlim4";"Pdlim4"
"P4ha2";"P4ha2"
"Acsl6";"Acsl6"
"Meikin";"Meikin"
"Fnip1";"Fnip1"
"Rapgef6";"Rapgef6"
"Cdc42se2";"Cdc42se2"
"Gm12227";"Gm12227"
"Lyrm7";"Lyrm7"
"Hint1";"Hint1"
"Gpx3";"Gpx3"
"Tnip1";"Tnip1"
"Anxa6";"Anxa6"
"Ccdc69";"Ccdc69"
"Gm2a";"Gm2a"
"Slc36a3";"Slc36a3"
"Slc36a2";"Slc36a2"
"Slc36a1";"Slc36a1"
"Sparc";"Sparc"
"Atox1";"Atox1"
"G3bp1";"G3bp1"
"Glra1";"Glra1"
"Gm12239";"Gm12239"
"Gria1";"Gria1"
"Fam114a2";"Fam114a2"
"Mfap3";"Mfap3"
"4933424L21Rik";"4933424L21Rik"
"Galnt10";"Galnt10"
"4933426K07Rik";"4933426K07Rik"
"2010001A14Rik";"2010001A14Rik"
"Sap30l";"Sap30l"
"Larp1";"Larp1"
"Gm12248";"Gm12248"
"Cnot8";"Cnot8"
"Gemin5";"Gemin5"
"Gm12246";"Gm12246"
"Mrpl22";"Mrpl22"
"Igtp";"Igtp"
"Irgm2";"Irgm2"
"Zfp692";"Zfp692"
"Zfp672";"Zfp672"
"1700047K16Rik";"1700047K16Rik"
"Sh3bp5l";"Sh3bp5l"
"Olfr323";"Olfr323"
"Gm12258";"Gm12258"
"Gm12259";"Gm12259"
"2810021J22Rik";"2810021J22Rik"
"Zfp39";"Zfp39"
"Gm12257";"Gm12257"
"Rnf187";"Rnf187"
"Hist3h2ba";"Hist3h2ba"
"Hist3h2a";"Hist3h2a"
"Trim17";"Trim17"
"2310058D17Rik";"2310058D17Rik"
"Trim11";"Trim11"
"Iba57";"Iba57"
"Guk1";"Guk1"
"2610507I01Rik";"2610507I01Rik"
"Mrpl55";"Mrpl55"
"2310033P09Rik";"2310033P09Rik"
"Arf1";"Arf1"
"Wnt9a";"Wnt9a"
"Snap47";"Snap47"
"Jmjd4";"Jmjd4"
"Zfp867";"Zfp867"
"Zkscan17";"Zkscan17"
"4933439C10Rik";"4933439C10Rik"
"Nlrp3";"Nlrp3"
"Mprip";"Mprip"
"1700007J10Rik";"1700007J10Rik"
"Gm12264";"Gm12264"
"Flcn";"Flcn"
"Gm16062";"Gm16062"
"Cops3";"Cops3"
"Nt5m";"Nt5m"
"Med9os";"Med9os"
"Med9";"Med9"
"Pemt";"Pemt"
"Rai1";"Rai1"
"4930412M03Rik";"4930412M03Rik"
"Srebf1";"Srebf1"
"Tom1l2";"Tom1l2"
"Drc3";"Drc3"
"Atpaf2";"Atpaf2"
"Gid4";"Gid4"
"Drg2";"Drg2"
"Myo15";"Myo15"
"Alkbh5";"Alkbh5"
"Llgl1";"Llgl1"
"Flii";"Flii"
"Mief2";"Mief2"
"Top3a";"Top3a"
"Smcr8";"Smcr8"
"Shmt1";"Shmt1"
"Dhrs7b";"Dhrs7b"
"Tmem11";"Tmem11"
"Natd1";"Natd1"
"Map2k3os";"Map2k3os"
"Map2k3";"Map2k3"
"Kcnj12";"Kcnj12"
"Tnfrsf13b";"Tnfrsf13b"
"Usp22";"Usp22"
"Aldh3a2";"Aldh3a2"
"Slc47a2";"Slc47a2"
"Gm45605";"Gm45605"
"Mapk7";"Mapk7"
"B9d1";"B9d1"
"Epn2";"Epn2"
"Grap";"Grap"
"Slc5a10";"Slc5a10"
"Fam83g";"Fam83g"
"Prpsap2";"Prpsap2"
"Ulk2";"Ulk2"
"A530017D24Rik";"A530017D24Rik"
"Gm26964";"Gm26964"
"Akap10";"Akap10"
"Specc1";"Specc1"
"Adora2b";"Adora2b"
"Zswim7";"Zswim7"
"Ttc19";"Ttc19"
"Ncor1";"Ncor1"
"Pigl";"Pigl"
"Gm12278";"Gm12278"
"Cenpv";"Cenpv"
"Gm12279";"Gm12279"
"Ubb";"Ubb"
"Trpv2";"Trpv2"
"2410006H16Rik";"2410006H16Rik"
"Lrrc75a";"Lrrc75a"
"Lrrc75aos2";"Lrrc75aos2"
"Lrrc75aos1";"Lrrc75aos1"
"Mmgt2";"Mmgt2"
"Zfp287";"Zfp287"
"Zfp286";"Zfp286"
"Trim16";"Trim16"
"Fbxw10";"Fbxw10"
"Tvp23b";"Tvp23b"
"Cdrt4os1";"Cdrt4os1"
"Tekt3";"Tekt3"
"Pmp22";"Pmp22"
"B430319H21Rik";"B430319H21Rik"
"Hs3st3b1";"Hs3st3b1"
"Cox10";"Cox10"
"9630013K17Rik";"9630013K17Rik"
"Gm12289";"Gm12289"
"2810001G20Rik";"2810001G20Rik"
"Hs3st3a1";"Hs3st3a1"
"Elac2";"Elac2"
"Myocd";"Myocd"
"Map2k4";"Map2k4"
"Zkscan6";"Zkscan6"
"Dnah9";"Dnah9"
"Shisa6";"Shisa6"
"Tmem220";"Tmem220"
"Adprm";"Adprm"
"Sco1";"Sco1"
"Myhas";"Myhas"
"Myh13";"Myh13"
"Gas7";"Gas7"
"Gm12301";"Gm12301"
"Glp2r";"Glp2r"
"Usp43";"Usp43"
"Stx8";"Stx8"
"C78197";"C78197"
"Ntn1";"Ntn1"
"Pik3r5";"Pik3r5"
"Pik3r6";"Pik3r6"
"Mfsd6l";"Mfsd6l"
"Myh10";"Myh10"
"Ndel1";"Ndel1"
"Rpl26";"Rpl26"
"Arhgef15";"Arhgef15"
"Slc25a35";"Slc25a35"
"Rangrf";"Rangrf"
"Pfas";"Pfas"
"Ctc1";"Ctc1"
"Aurkb";"Aurkb"
"9330160F10Rik";"9330160F10Rik"
"Borcs6";"Borcs6"
"Tmem107";"Tmem107"
"Vamp2";"Vamp2"
"Per1";"Per1"
"9130213A22Rik";"9130213A22Rik"
"Hes7";"Hes7"
"Aloxe3";"Aloxe3"
"Gucy2e";"Gucy2e"
"Cntrob";"Cntrob"
"Trappc1";"Trappc1"
"Kcnab3";"Kcnab3"
"Kcnab3os";"Kcnab3os"
"Rnf227";"Rnf227"
"Chd3";"Chd3"
"Cyb5d1";"Cyb5d1"
"Naa38";"Naa38"
"Tmem88";"Tmem88"
"Kdm6b";"Kdm6b"
"Kdm6bos";"Kdm6bos"
"Dnah2";"Dnah2"
"Efnb3";"Efnb3"
"Wrap53";"Wrap53"
"Trp53";"Trp53"
"Atp1b2";"Atp1b2"
"Sat2";"Sat2"
"Fxr2";"Fxr2"
"Sox15";"Sox15"
"Mpdu1";"Mpdu1"
"Cd68";"Cd68"
"Eif4a1";"Eif4a1"
"Senp3";"Senp3"
"Tnfsf13os";"Tnfsf13os"
"Tnfsf13";"Tnfsf13"
"Tnfsf12";"Tnfsf12"
"Polr2a";"Polr2a"
"Zbtb4";"Zbtb4"
"Chrnb1";"Chrnb1"
"Fgf11";"Fgf11"
"Nlgn2";"Nlgn2"
"Tmem256";"Tmem256"
"Plscr3";"Plscr3"
"Tmem95";"Tmem95"
"Kctd11";"Kctd11"
"Acap1";"Acap1"
"2810408A11Rik";"2810408A11Rik"
"Neurl4";"Neurl4"
"Gps2";"Gps2"
"Eif5a";"Eif5a"
"Elp5";"Elp5"
"Ctdnep1";"Ctdnep1"
"Gabarap";"Gabarap"
"Phf23";"Phf23"
"Dvl2";"Dvl2"
"Acadvl";"Acadvl"
"Dlg4";"Dlg4"
"Asgr2";"Asgr2"
"Mgl2";"Mgl2"
"Clec10a";"Clec10a"
"Slc16a11";"Slc16a11"
"Slc16a13";"Slc16a13"
"Bcl6b";"Bcl6b"
"0610010K14Rik";"0610010K14Rik"
"Rnasek";"Rnasek"
"Alox12";"Alox12"
"Alox15";"Alox15"
"Pelp1";"Pelp1"
"Arrb2";"Arrb2"
"Med11";"Med11"
"Cxcl16";"Cxcl16"
"Zmynd15";"Zmynd15"
"Tm4sf5";"Tm4sf5"
"Psmb6";"Psmb6"
"Pld2";"Pld2"
"Mink1";"Mink1"
"Chrne";"Chrne"
"Slc25a11";"Slc25a11"
"Rnf167";"Rnf167"
"Pfn1";"Pfn1"
"Gm12319";"Gm12319"
"Eno3";"Eno3"
"Spag7";"Spag7"
"Camta2";"Camta2"
"Inca1";"Inca1"
"Kif1c";"Kif1c"
"Gm12320";"Gm12320"
"Zfp3";"Zfp3"
"Scimp";"Scimp"
"Rabep1";"Rabep1"
"Gm19967";"Gm19967"
"Nup88";"Nup88"
"Rpain";"Rpain"
"C1qbp";"C1qbp"
"Dhx33";"Dhx33"
"Derl2";"Derl2"
"Mis12";"Mis12"
"6330403K07Rik";"6330403K07Rik"
"Nlrp1a";"Nlrp1a"
"Nlrp1b";"Nlrp1b"
"Wscd1";"Wscd1"
"Pimreg";"Pimreg"
"Pitpnm3";"Pitpnm3"
"4933427D14Rik";"4933427D14Rik"
"Gm43951";"Gm43951"
"Txndc17";"Txndc17"
"Med31";"Med31"
"4930563E22Rik";"4930563E22Rik"
"Xaf1";"Xaf1"
"Mybbp1a";"Mybbp1a"
"Spns2";"Spns2"
"Spns3";"Spns3"
"Ube2g1";"Ube2g1"
"Ankfy1";"Ankfy1"
"Cyb5d2";"Cyb5d2"
"Zzef1";"Zzef1"
"Atp2a3";"Atp2a3"
"P2rx1";"P2rx1"
"4732414G09Rik";"4732414G09Rik"
"Camkk1";"Camkk1"
"Ncbp3";"Ncbp3"
"Itgae";"Itgae"
"Haspin";"Haspin"
"P2rx5";"P2rx5"
"Emc6";"Emc6"
"Tax1bp3";"Tax1bp3"
"Ctns";"Ctns"
"Shpk";"Shpk"
"Aspa";"Aspa"
"Rap1gap2";"Rap1gap2"
"Ccdc92b";"Ccdc92b"
"Cluh";"Cluh"
"Pafah1b1";"Pafah1b1"
"Mettl16";"Mettl16"
"Mnt";"Mnt"
"Sgsm2";"Sgsm2"
"Tsr1";"Tsr1"
"Srr";"Srr"
"Smg6";"Smg6"
"1700016P03Rik";"1700016P03Rik"
"Ovca2";"Ovca2"
"Dph1";"Dph1"
"Rtn4rl1";"Rtn4rl1"
"Rpa1";"Rpa1"
"Smyd4";"Smyd4"
"Serpinf1";"Serpinf1"
"Serpinf2";"Serpinf2"
"Wdr81";"Wdr81"
"Mir22hg";"Mir22hg"
"Tlcd2";"Tlcd2"
"Prpf8";"Prpf8"
"Rilp";"Rilp"
"Scarf1";"Scarf1"
"Gm45606";"Gm45606"
"Slc43a2";"Slc43a2"
"Pitpna";"Pitpna"
"4931413K12Rik";"4931413K12Rik"
