"";"genes"
"Ccdc93";"Ccdc93"
"Gm15392";"Gm15392"
"Ddx18";"Ddx18"
"Dpp10";"Dpp10"
"Actr3";"Actr3"
"Slc35f5";"Slc35f5"
"Nckap5";"Nckap5"
"Mgat5";"Mgat5"
"Tmem163";"Tmem163"
"2900009J06Rik";"2900009J06Rik"
"Ccnt2";"Ccnt2"
"Map3k19";"Map3k19"
"Rab3gap1";"Rab3gap1"
"Zranb3";"Zranb3"
"R3hdm1";"R3hdm1"
"Ubxn4";"Ubxn4"
"Mcm6";"Mcm6"
"Dars";"Dars"
"Cxcr4";"Cxcr4"
"Gm26686";"Gm26686"
"Thsd7b";"Thsd7b"
"Gm15675";"Gm15675"
"Cd55";"Cd55"
"Gm16083";"Gm16083"
"Pfkfb2";"Pfkfb2"
"Yod1";"Yod1"
"AA986860";"AA986860"
"Il10";"Il10"
"Mapkapk2";"Mapkapk2"
"Dyrk3";"Dyrk3"
"Eif2d";"Eif2d"
"Rassf5";"Rassf5"
"Ikbke";"Ikbke"
"Srgap2";"Srgap2"
"Gm29488";"Gm29488"
"Fam72a";"Fam72a"
"Ctse";"Ctse"
"Rab7b";"Rab7b"
"Pm20d1";"Pm20d1"
"Slc41a1";"Slc41a1"
"Rab29";"Rab29"
"Nucks1";"Nucks1"
"Slc45a3";"Slc45a3"
"Elk4";"Elk4"
"Mfsd4a";"Mfsd4a"
"Cdk18";"Cdk18"
"Nuak2";"Nuak2"
"F730311O21Rik";"F730311O21Rik"
"Tmcc2";"Tmcc2"
"Dstyk";"Dstyk"
"6030442K20Rik";"6030442K20Rik"
"Rbbp5";"Rbbp5"
"Tmem81";"Tmem81"
"Cntn2";"Cntn2"
"Nfasc";"Nfasc"
"Lrrn2";"Lrrn2"
"Mdm4";"Mdm4"
"Pik3c2b";"Pik3c2b"
"Gm28609";"Gm28609"
"Ppp1r15b";"Ppp1r15b"
"Plekha6";"Plekha6"
"Etnk2";"Etnk2"
"Sox13";"Sox13"
"Snrpe";"Snrpe"
"Zc3h11a";"Zc3h11a"
"Gm38394";"Gm38394"
"Atp2b4";"Atp2b4"
"Btg2";"Btg2"
"Chil1";"Chil1"
"Mybph";"Mybph"
"Adora1";"Adora1"
"Ppfia4";"Ppfia4"
"Tmem183a";"Tmem183a"
"4933406M09Rik";"4933406M09Rik"
"Cyb5r1";"Cyb5r1"
"Adipor1";"Adipor1"
"Platr1";"Platr1"
"Klhl12";"Klhl12"
"Rabif";"Rabif"
"Kdm5b";"Kdm5b"
"Syt2";"Syt2"
"Ppp1r12b";"Ppp1r12b"
"Gm28892";"Gm28892"
"Ube2t";"Ube2t"
"Ptpn7";"Ptpn7"
"Arl8a";"Arl8a"
"Gm15445";"Gm15445"
"Gm26642";"Gm26642"
"Rnpep";"Rnpep"
"Timm17a";"Timm17a"
"Shisa4";"Shisa4"
"Ipo9";"Ipo9"
