"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"Birc6";5789,07735682173;0,182337206490618;0,105006327131841;0,00247486504534823;0,278423501385469
"Gm15374";33,2101400142551;0,687842424953479;0,478793654732639;0,0028207370296732;0,287214723682692
"Mymk";110,953809919207;-0,0109179756342792;0,0341646163055603;0,00270970108178843;0,287214723682692
"AW011738";492,987632105282;0,279764461303285;0,178662354827522;0,00268722644091898;0,287214723682692
"Gm17849";90,9203184865956;0,555659854232802;0,381910401988861;0,00277073550075944;0,287214723682692
"Nherf1";639,007041947319;-0,0151245220561576;0,0367634051828324;0,00281390008973932;0,287214723682692
"Iqgap2";144,690760501917;0,430999638120124;0,292071664828776;0,00275566237137598;0,287214723682692
"Taf5";132,670554885614;-0,327400427317924;0,22399965847391;0,00278455357610789;0,287214723682692
"Gm15376";18,3622447165547;0,775161656419649;0,543878215175263;0,00286933890204615;0,289826183817878
"Efhc1";15,921019901268;-0,0052112233020205;0,0320711292799926;0,00295787689828738;0,290929489677524
"Mthfd2";320,669747551943;-0,0364289640584734;0,0730047600441957;0,00295110420949872;0,290929489677524
"Osm";1832,75236127249;0,286334519583949;0,193083784422258;0,00296965251384307;0,290929489677524
"Gm15712";31,2572161897187;0,620923361710622;0,444808374021619;0,00297243023668625;0,290929489677524
"Atf3";13736,541275607;0,272735780677061;0,179836838347731;0,0030695662864339;0,295031548292755
"Kcnk3";32,8284515802997;-0,00508976019935067;0,0320432937629838;0,00306603599706519;0,295031548292755
"Baz1b";3028,59363455506;0,151005778511134;0,0891166674828377;0,00308444197486486;0,295031548292755
"Ncf1";9911,40679253397;0,112315677004566;0,0605471832743422;0,00313799001605149;0,297896706335835
"Ugt1a6b";49,9979468140057;0,463962825493226;0,355307537817484;0,00330205426921656;0,299573439141258
"Ccna2";75,7859820611653;0,543438850266382;0,409099764336735;0,00322202888469063;0,299573439141258
"Epb41";1752,9759039854;0,180380772001765;0,116972180727769;0,0032969526829636;0,299573439141258
"Id3";34,4583201759505;0,512399607498239;0,385342313157557;0,00319661477351152;0,299573439141258
"Unc13b";168,231473831544;-0,389065877631515;0,311830488359699;0,00330642536826387;0,299573439141258
"Rasal1";10,614993879759;0,891884730198121;0,677459073975382;0,00332173938537749;0,299573439141258
"Anln";91,507145930553;0,348276323318933;0,257910963035574;0,00325945541972394;0,299573439141258
"Plekha7";102,148768792862;0,297957398927828;0,228114309874477;0,00351152158620791;0,31004525557665
"Bcl6";906,67218468547;0,241392490668024;0,174025595070337;0,00346626256613698;0,31004525557665
"Mpp7";1454,27091299004;0,312792895208577;0,235645857643263;0,00349066655654293;0,31004525557665
"Stxbp5";2178,40294932039;0,125887325208902;0,0751953260406753;0,00361510230426543;0,315260950100114
"Slc25a29";32,6967394563189;-0,0119504174912304;0,0346927743618064;0,00362053205801652;0,315260950100114
"Cd209f";164,96982882532;0,449590647365952;0,376568973670415;0,00371723443938829;0,321464397477511
"Taf1c";417,865720773257;-0,246376371753437;0,198332225921119;0,00374329942496008;0,321516316595551
"B4galt2";19,8792072469466;-0,00722608549744813;0,032625146054176;0,00384539086760431;0,323647811460484
"Trrap";4850,67306784872;0,176902424891562;0,120219652253758;0,00387064941632608;0,323647811460484
"Eid3";70,223423008519;0,34578652186917;0,292765445754325;0,00381442486481126;0,323647811460484
"Brca1";62,9159468516837;0,499150692587075;0,440682898341479;0,00385855297209145;0,323647811460484
"Grwd1";253,43281600058;-0,0214343145054278;0,0425461370674028;0,00399371310275257;0,327557368326608
"Arsg";1158,51524260971;-0,137058002750905;0,101508966822623;0,00399281610126826;0,327557368326608
"Pcdhgb6";212,925679521288;0,27847325221959;0,235812945079711;0,00401203964011702;0,327557368326608
